"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
28.5,49.4,1,5.9,16.6,5.6,0.93,10.6,328
28.9,49.4,12.9,18.5,18.5,4.7,0.89,10.1,461
39.3,104.7,1.1,14.1,38.6,15.6,2.74,4.2,634
32.7,79.1,17.2,29.7,23.9,17,1.25,7.5,504
34.7,63.4,79.7,92,29.9,4,1.36,6.1,566
35.6,70.9,18.5,44,43.3,12.5,1.71,5,484
36.2,80.6,13.9,22,28.7,13.3,1.56,7.5,483
35.9,70.8,30.1,48.9,35.1,10.2,1.86,4,671
27.6,55.9,9.8,17.8,33.7,8.8,1.6,5.2,352
20,55,9.7,17.2,14.7,7.1,1,12.8,283
21.2,69.6,10.3,16.7,13.9,10.3,1.01,12.9,509
41.6,105.2,62.8,89.8,42.7,21.8,2.47,4.7,677
20.6,60.3,33.8,38.3,19.9,1.1,1.07,10.1,207
19.7,42.8,13.1,20.8,21.3,3.5,0.96,11.3,452
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599
24.4,53.9,8,13.3,17,5.3,0.84,10.8,335
29.7,64,2.5,4.3,16.8,6.5,0.98,10.3,445
31.8,80.1,5.6,7.6,24.4,16.6,1.56,10.4,679
43.1,102,1.5,12.4,31.9,18.9,2.2,3.9,492
32.6,78.3,4.6,24.6,25.8,21.2,1.97,5.9,540
38.5,97,30.2,54,43.1,24.5,2.91,6.6,773
30.6,47.9,14.4,18.8,16.1,2.4,1.05,12.4,386
33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,576
30.6,58.5,17,31.9,27.1,9.3,1.54,5.4,405
26.7,72.9,28.7,30.2,32.9,6.4,1.65,8.1,688
32.8,100.5,21.8,37.5,29.6,6.6,2.94,6.1,774
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785
21.4,49.5,7.6,15.3,22.7,7.8,0.92,12.5,576
24.9,79.2,5.5,12.2,21.3,4.6,1,11.9,225
21.4,57.5,12.9,18,20.6,5.7,1.23,18.1,233
22.8,66.4,9.3,12.7,13.9,4,0.87,10.7,579
34.7,85,4.1,14.2,29.5,13.2,1.41,5.1,608
19.7,68,4.7,8.4,24.8,5.5,0.77,10.6,297
29.1,71.8,1.6,3,23.7,5.6,1.05,12.2,514
21.3,53.4,16.1,22.3,19.3,3.7,0.98,11.8,314
39,107.1,11.2,29.4,44.6,19.3,3.65,2.8,713
28.9,87.3,98.3,118.1,34.8,13.4,1.76,7.9,760
36.6,109.9,0.4,16.4,39.9,13,1.57,5.9,690
34.7,69.9,29.7,43.7,29.5,11.6,1.6,6.9,398
31.6,68.2,3.4,14.1,20.2,8.8,1.56,5.2,423
23.8,70.2,7,8.2,25.3,8.6,1.07,10.4,267
28.3,54.8,2.5,15.5,29.3,11.7,1.51,6.1,376
27.9,60.9,1.9,6.7,14.5,5.6,1,11,383
46.7,65.7,102.5,122.1,43.7,6.9,1.9,3.9,556
32.5,97.5,77,99.1,54.5,26.1,1.82,2.7,555
35.5,100.3,3.2,22.2,38.7,16.2,1.74,7.9,717
34.1,55,12,30.7,28.3,22.7,1.64,3.4,684
28.4,79.6,21.5,37.8,21.6,11.1,1.68,5.6,655
35.3,70.3,27.3,31.9,27.4,11.1,1.75,9.3,635
26.9,79.7,17.3,27.3,27.2,0,1.45,7.5,575
39.6,87.7,2.8,12.5,28.9,2.8,2.05,3.8,692
25.9,71,22.1,21.8,14.4,2.3,0.93,12.5,314
23.2,71.8,56,70,26.3,14.6,1.69,5.7,392
41.1,110.2,26.6,42.7,26.8,9,2.4,8.7,814
26.4,66,3.5,14.4,23.7,7,1.74,5,511
27,58.1,8.5,12.2,25.8,5.5,0.99,17.8,324
25.9,57,3.6,18.9,22.5,9.8,1.52,6.9,352
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437
25.9,62.5,2.3,15.8,22.5,9.2,1.31,6.8,430
25.7,64.4,13.8,25,21.4,14.9,1.54,6.6,324
28.2,59.2,12.7,21.2,21.7,10.2,1.3,5.2,565
28.1,91.6,6.4,13.5,37.9,10,1.26,7.2,331
26.5,54.9,0.9,3.5,12.6,6.1,1.01,14.5,368
21.8,79.6,7.1,16.8,14.5,6,0.91,10.8,455
46.6,81.9,6.6,31.9,54.9,11.8,2.19,2.8,734
42.2,87.6,95.7,115.6,42.7,18.7,2.59,6.7,707
23.5,67,1.8,6.8,19.6,4,1.07,10.8,320
22.7,49.7,18.4,27.1,20.4,6,0.92,10.5,565
28.3,39.7,52.1,56.7,28.9,0.6,0.99,15.1,384
28.2,80.5,19.1,31.5,25,11.1,1.11,5.2,373
29.7,53,18,30.5,27.8,8.6,1.36,5.1,488
30.2,75.3,1,1.9,41.1,5.7,1.57,4.3,609
29.6,75.1,6.1,14,25.6,9.5,1.52,8.2,649
22.6,61,18.8,25.7,15,2.2,1.02,14.7,298
30,85.1,70.6,91.5,30.7,7.1,1.52,5.3,373
25.5,66.7,45.1,51.2,18.8,3.7,0.92,10.4,574
34.4,100.9,4.7,14.1,47.6,21,2.01,5.6,771
25.8,70.1,7.1,10.7,26.5,4.1,0.94,11.2,344
24.5,44.8,21.1,29.1,23.9,6.7,0.95,17.8,491
42,91.8,28,37.4,44.9,16.3,1.85,3.4,682
28.6,45.6,56.8,64.8,30.2,7,1.42,7.6,681
27.1,66.5,14.8,29.8,35.6,15.6,1.99,3.3,577
23.3,57.5,90.3,114.3,27.7,26.6,2.15,5.1,494
29.4,73.1,9.4,13.7,38.5,5.1,1.59,3.8,438
29.4,73.1,11.7,28,24.5,13.2,1.51,8,459
27.8,96.1,4.5,31.9,39.5,0.7,1.99,4.5,614
34.4,94.5,25.5,48.8,26.3,9.9,1.47,9.3,457
27,46.5,8.3,14,20.7,5.5,1.02,15.4,496
28.6,72.9,13.8,19.3,19.7,2.9,0.98,10.4,575
26.2,65.8,12.5,16.9,14.7,3.5,0.92,12,432
35.8,69.6,2.3,10.5,24.4,10.9,1.66,10.9,455
30.8,47.7,11,16.4,25.7,5.5,1.11,10.1,332
41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459
31.1,67.6,2.2,5.5,11.3,0.8,1.12,10.8,344
34,82.8,173.2,190,26.4,14.1,2.3,7.7,613
24,60.3,1.5,8.1,22.2,6,1.14,11.1,301
24,43.4,5.4,9.5,15.8,1.7,0.98,11,441
34.6,87.2,42.1,70.1,38,18.3,1.41,10.3,471
27.9,89.6,11.5,8.6,21.7,15.8,1.27,5.2,618
29.2,89.5,71,83.9,19.8,14.6,1.16,7.3,618
36.2,73.7,9.6,32.4,41.4,25.5,1.97,10,782
24.9,83.7,12.1,20.4,30.8,7.6,1.3,7.6,516
28,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442
34.1,65.4,49.1,56.2,23.1,10.2,1.49,7.9,385
31,78,1.5,5.7,20,4.7,1.02,11,279
27.8,53.7,7.8,16.9,29.7,7.9,1.31,5.6,613
38.3,103.6,12.4,27.7,25.4,11,1.87,3.8,441
41.7,97.8,2.5,7.6,47.9,27.3,2.16,2.5,688
25,56.6,3.9,10.9,16.5,4,1.06,11.1,583
31.6,82.6,34.2,38.6,20.8,7.6,1.83,10.4,477
30.1,72.9,0,5.9,26.5,8.1,1.21,13,569
29.1,47.1,1.7,6.7,22,7,0.97,13.4,566
28.9,61.7,2.7,7.1,35.3,7.8,1.45,6,439
36.7,84.1,44.9,61.9,31.1,13.4,2.24,7.3,440
38.4,70.3,1.4,13.2,29.4,10.6,1.74,6.3,406
24.4,79.8,10.9,29.8,19.6,6.9,1.47,8.2,593
43.7,86.8,2.1,16.5,38.7,15.3,1.92,8.3,351
23.6,62,11,14.7,16.9,5.5,1.18,10.9,196
36.7,75.1,19.7,40.7,38.1,26.6,2.67,11.5,875
37,74.4,89.9,114.3,28,15.4,1.85,6.3,634
28.3,77.3,13,21.6,33.2,9.3,1.77,7.5,542
26.6,74.1,3.2,9.8,17.3,4.5,1.1,10,362
23.3,58.4,1.6,7.3,21.4,4,1.08,12.3,438
20.2,65.4,6.2,13.1,26.1,8.5,0.94,11,338
27.9,39.7,2.3,8.1,22.2,6.3,1,10.2,430
27.2,71.6,10.7,24.4,31.4,15.4,2.09,4,434
18,66.7,3.3,6.1,11.3,5.3,0.82,14.6,517
28.6,50.6,43.7,48.8,15.7,7.2,1.14,11.8,531
37,76.1,131.3,145.5,57.3,24.3,2.94,7.6,702
35.1,85.7,19.7,26.3,24.1,9.9,1.45,8.2,483
27.4,57.4,2.5,17,35.5,10.3,1.63,6.1,365
27.4,58,2.9,7,25.8,2.3,1,10.4,562
32.7,50.3,26.8,40.9,22,8.1,1.68,9.1,417
25.8,51.5,20,30.5,16.5,7.4,0.9,10.6,520
23,59.3,10.6,18.8,26.1,15.3,1.42,10.6,337
19.9,76.5,16.2,23.2,19.9,8,0.88,10.1,330
22.6,74.6,3.4,16,17.5,4.9,1.6,6.2,718
29.5,84.6,40.6,51.7,25.4,11.5,1.75,9.5,418
26.3,74.7,8.6,14,14.1,4.6,0.99,13,318
25.3,50.8,7.7,13.4,16.5,3.8,1.15,10.8,338
39,59.1,13.8,39.2,41.2,11.6,1.82,3.8,602
25.2,60,6.8,12,25.3,3.8,1.02,11.2,509
21.5,57.5,0.2,4.3,15,6.7,1.02,18.8,373
22.8,76,12.3,22,27.1,12.2,1.54,12.1,577
32.4,66.1,9.1,16,13.9,4.6,1.02,11.4,283
23.6,72.3,0.8,13.8,26.4,11,1.68,6.2,543
26.3,49.5,1.6,5.6,22,1.2,1.05,11.2,207
31.7,78.8,22.2,33.1,31.5,10.8,1.6,6.2,494
32,80.6,9.7,19.5,31,3.9,1.52,6,567
26.5,43,18.8,18.4,17.6,2.1,1.08,10.6,426
29.4,52.2,13.3,18.6,21.1,3.5,1.02,10.3,413
31.7,52.4,11.2,22,32.4,13.3,1.52,7.3,460
25,64.5,6.9,15.4,17.8,8.3,0.87,11.3,329
26.6,70.9,5.9,18.2,26.9,11.7,1.5,5.3,573
29.1,93.2,8,19.3,35.6,25.8,1.72,4.2,473
26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,303
57.8,108.4,3.1,11.2,51.5,19.4,2.08,3,537
44,104.8,22.5,48.3,35.8,12.4,2.03,3.4,627
21.5,75.4,11.2,17.5,14.8,6.3,1.01,14.6,298
22.6,72,40.4,46.2,14.6,4.5,1.04,14.8,270
30.8,76.8,3.7,15.9,30.8,12,1.78,7.8,501
22.6,72.2,20.1,23.5,17.9,2,1.13,11.9,581
22,51.9,5.5,9.8,15,7.3,0.88,12,601
38.7,72.4,3.4,23.9,25.4,22.6,2.27,3.9,765
36.1,77.3,40.8,50.4,23.1,13.1,2.04,5.2,615
31,80.4,3.3,13.9,29.6,7.1,1.31,7.1,353
37,96.6,14.8,25.2,40.6,14.7,2.11,10.2,673
27.5,55.4,32.5,47,22.1,12.7,1.66,5.2,298
23.5,60.8,10.3,14.3,12.8,1.7,0.98,10.6,208
45.9,84.1,40,58.3,42,25.9,1.94,2.6,951
35.3,75.4,8,27.1,37.3,9,1.82,21.6,696
24.4,44.8,7.4,8.4,24.9,4.9,1.02,10,541
26.8,54.3,25.1,33.7,27.1,6.3,1.61,9.7,632
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,611
30.2,75.6,15.3,18.2,20.7,4.6,0.95,12.3,445
28.1,66.3,51.2,69.9,23.9,13.7,1.61,5,653
34.2,81.3,54.5,65,28.2,11.6,2.19,6.4,709
37.2,69.3,120.7,129.3,43.4,12.5,1.93,9,529
44.6,94.9,78.9,98.3,40.6,23.9,2.44,4.3,670
36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846
32.2,55.7,17.2,30.4,36.3,1.6,1.31,5.4,617
41.5,91.3,79.5,93.5,30,12.8,1.99,10.4,561
27.2,90.5,13.9,22.7,26.6,12.8,1.29,7.6,616
18,81.6,20.5,23.8,25.4,17.4,1.67,10.3,551
31.6,67,10.3,22,31.4,1.7,1.3,5.4,513
26.1,58.4,9.8,16.3,25.6,7.1,0.89,14.8,458
29,80.6,0.4,23.9,30.8,9.5,2.69,3.4,656
27.3,67.7,2.4,9.2,24.6,7.6,1.13,11.1,249
36.7,71.8,47.7,56.7,28.8,18,1.57,7.6,702
24.5,45.3,3.6,9,24.4,3.8,0.9,11.2,527
36.9,84.6,8,23.5,36.2,20.6,2.29,5.9,745
24.4,79,7.5,10.3,28.1,4.6,1.49,5.7,473
35.4,65,22.6,46.2,37.5,23,2.01,3.7,509
23.8,70.6,4.7,18.1,31.1,9.3,1.48,5.1,609
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685
35.5,73.2,83.2,96.3,32.8,15.4,2.56,9.1,879
36.2,97,72.7,95.2,33.5,10.9,2.25,4.9,432
32.2,78.1,0.4,6.2,26.7,13.8,1.64,5.1,540
33.9,53.4,18.5,24.7,26,9.8,1.96,6.3,605
28.3,59.1,1.5,6.1,23.4,7,1.1,10.9,511
45.8,62.3,36.2,54.1,32.3,19,2.8,4.3,616
23.5,70.8,4.6,13.3,35.7,4.8,1.45,12.5,345
40.5,70.4,35.8,44.7,22.2,9.7,1.33,5.5,398
40.9,93.8,3.4,26.7,44.6,10.2,1.75,3.7,759
31.4,69.4,11.1,28.2,27.4,17.7,2.02,5.8,400
19.6,38.3,4,8.8,21.1,9.1,0.95,10.2,285
20.4,65.1,7.7,9,10.8,4.1,0.83,11.2,586
30.4,90.7,91.5,98.9,22.1,9.6,1.52,5.3,598
30.8,62.2,11.8,37.1,29.1,17,1.91,4.4,629
32,61.5,13.9,20.6,23.3,11,1.41,8.1,425
22.7,58.8,16,21.7,14.8,4.5,0.95,10,324
25.7,71.4,13.9,18.5,22.2,6.4,1.41,7.7,520
38.3,107.8,39.3,60.8,32.3,29,2.61,6.8,462
30.4,46.7,21.4,25.4,17.3,7.8,0.91,11.7,365
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362
28.9,46.1,3.5,10.8,12.5,5.9,1.02,10.8,450
31.1,61,27.1,31.1,13,3.8,0.98,13.4,278
26.8,76.1,3.8,10.1,25.1,4.7,1.01,10.3,394
23.1,50.9,6.1,9.2,14,8.3,0.87,11,287
34.6,75.7,3.7,27.7,32.2,3.9,1.91,3.6,703
26.7,51.8,1.3,7.9,22.3,5,0.97,12.8,296
50.4,85.1,8.9,33.5,36.5,19.2,2.4,4.4,778
40.9,75.9,80.5,74.7,34,27.4,3.48,3.5,805
30.5,76,30.7,48.8,25.3,3.3,1.56,7.3,721
33.3,92.2,5,25.3,29.8,19.7,1.41,3.9,494
25.5,68.2,20.4,23.5,13.9,3.2,0.96,10.3,486
41.2,93.9,12.4,31.2,31.3,18.7,2.16,5.5,568
32,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325
25,87.3,49.8,70.3,35.2,15.4,2.85,4.7,680
28.7,60.8,20.4,34.7,31.8,9.5,1.4,7.6,667
30,54.7,38.3,43.8,32.8,7.7,1.28,6.7,610
32.8,89.1,18,32.4,44.1,16.1,1.64,4.3,734
27.2,88.6,7.1,26.7,36.6,16.7,2.39,9.9,442
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504
21.9,80,1.1,6,21.8,11.4,1.77,6.5,642
34.5,71.4,29.5,52.6,37.9,17.1,2.09,3.9,744
27,43.9,6.7,12.3,11.3,6.2,0.95,10.7,279
34.1,60.8,71.1,91.7,37.5,17.4,2.12,4.1,458
47.4,64.8,68.5,80.6,38.5,13.5,2.54,4,633
25.1,65.9,3,9.9,12.7,0.9,0.92,10.5,279
39.2,57.5,122.3,134.5,41.2,10.1,2.4,3.9,730
32.9,66.9,5.2,8.6,30.6,14,1.47,10.5,485
16.6,38.7,4.1,8.5,19.8,5.4,0.95,15.6,264
22.6,60,7.4,12.9,18.8,3.9,0.89,17.1,256
35.5,109.1,77.1,94.8,34.2,21.5,2.42,2.5,870
27.1,69.3,2,7.7,16,5,1.07,11.1,501
18,44.7,18.5,22.8,21.2,9.6,0.99,16,470
25.6,57.7,10,15.8,22.1,2.5,0.98,15.4,470
25.4,81,22.9,36.8,38.3,9.5,1.59,7.6,543
39.6,96.2,47.1,65.4,35.8,17.1,2.03,5.2,661
33.6,84.2,186.7,209.8,36.8,13.4,2.57,5.8,879
28.9,48.1,2.2,5.6,23.1,5.9,1.09,10.6,465
20.3,56.2,21.8,28.8,18.9,2.7,0.96,10.2,335
26.9,73.1,4.4,9.2,21.4,5.7,0.88,11.9,523
27.8,75.4,8.9,20.8,33.6,4.1,1.31,5.5,626
24.1,49.2,11.7,17.1,22.3,6.4,0.98,13.6,334
35.7,102.1,39.7,49.8,19.5,13,2.04,7.2,472
46,90.9,11,30.8,26.2,15,1.78,5.6,736
24.7,43.2,5.3,11.2,13.7,1.4,1.01,10.1,552
44.7,78.8,87.4,113,37.8,16,2.07,3.4,549
27.9,41.1,24.9,29.8,23.5,6.1,1.08,10.8,294
32.2,87.1,48.1,64.2,29.7,15.3,1.44,5.3,666
23.6,73,10.5,13.8,17.1,6.3,1.03,10.4,571
26.3,83.1,29.7,48,33,8.2,1.56,6,579
32.7,59.4,2.1,14.7,21.9,13.7,1.21,8.4,394
28.7,53.9,18.3,20.4,25.7,7.5,0.98,11.2,406
28.7,78.9,26.8,38,36.2,6.2,1.69,5.4,484
36.2,95,9.8,31.8,34.3,24.1,2.12,6.9,681
28,45.1,12.5,13.4,26.1,6.5,0.94,10.3,409
28.1,89.9,31.9,39.6,21.3,15.8,1.72,5.6,697
33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654
25,68.6,9.8,13.2,23.1,4.2,0.98,11.1,578
25.6,66,0.8,6.7,16,7,0.84,11.7,431
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803
28.6,67.6,3.2,5,18.6,3.3,0.92,16.4,355
30.9,98,78.8,93.2,27.2,10.7,1.73,5.6,472
33.3,64.4,52.1,66.2,26.1,8.1,1.41,6.3,584
24.8,78.7,17.4,21.7,24.2,3.4,0.74,12.6,580
31.9,72,68.4,87,37.9,7.3,2.24,4,679
30.1,49,7.7,14.5,20.2,7.6,0.98,11,465
28.5,47.7,0,5.3,26.2,2.6,1.13,12.2,474
21,54.3,7.5,11.7,19.5,4.4,1.05,10.1,569
36.6,71,5,28.2,26.2,26.7,1.93,4.7,523
22.2,53.1,10.4,11.7,11.8,4.9,1,10.1,300
31.8,62.9,116.1,127.6,30,10.2,2.26,3.8,790
28.4,66.1,35.2,50,24.8,7.8,1.2,6.5,311
25,38.6,18.5,25.2,14,4.8,1.12,11.9,499
35.9,87,26.4,34.1,29.2,17.2,1.33,6.5,619
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533
47.8,74.1,38.5,62.2,41.1,11.4,1.85,6.8,549
27.7,75.8,0.2,5.2,10.4,4,0.93,10.4,505
29.5,83.3,82.2,107.5,25.3,29,2.41,5.2,401
23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312
31.2,93.7,6.3,10.9,19,14.2,1.51,7.1,344
36.4,77.4,39.3,62.4,25.9,10.8,2.37,4.8,774
43.4,88.4,35.6,48,39.4,14.4,1.78,4.6,639
30.4,98.7,21.6,29.6,35.1,12.7,2.13,4,625
50.6,92.4,42.9,58.7,40.4,29.7,3.34,4.8,695
25.8,56.9,2.7,10.1,17.2,2.6,0.84,11.1,569
40.3,81.9,2,17.8,37.5,17.1,2.05,4.3,444
29.7,81.9,2.8,12.1,34.9,14.3,1.69,5.4,464
32.3,76.8,19.1,38.4,23.9,12.6,1.69,6.2,674
31.5,61.9,105.9,105,22.4,4.8,1.16,6.1,577
35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,679
24.4,45.9,25,30.5,22.8,3.1,0.97,11.5,524
29.8,80.8,10.4,14.9,17.1,-0.4,1.53,5.7,502
38.1,92,115.9,153.7,37.6,23.6,2.96,2.7,511
30.7,64.8,53.2,65.6,34.6,19.9,1.91,3.8,391
30.8,53.5,9.2,15.4,27.5,7.9,1.04,10.8,220
29.7,55.6,28,45.2,24.5,7.9,1.25,5.9,471
30.8,66.2,25.8,28.9,18.1,6.8,1,5.2,603
26.5,65.9,0.9,13.3,30.1,11.5,1.82,5.5,641
18.1,62.9,23.2,26.6,12.7,5.1,0.92,12.2,476
18.6,66.2,6.2,11.5,15.9,4.7,1.13,12.1,448
26.5,98.1,41.4,56.1,40.4,6.2,1.85,7.1,430
28.7,45.3,42.8,47.4,11.7,2.9,1.04,19.3,577
24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511
25,81.8,20.2,28.7,17.5,2.3,1.06,10.6,386
23.8,51.1,8.8,12.7,14.1,4.3,0.94,13.6,425
25.3,55.4,7.3,13.2,18.5,3.3,0.89,17.1,214
21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381
28.1,67.8,2,6.9,21.5,1.1,0.85,11,344
29.7,70.4,6,8.6,17.4,3.2,1.42,8.5,586
